L,n_trials,empirical_acc,ci_low,ci_high,pred_acc,epsilon_hat,c
1,288,0.1423611111111111,0.10670387704907143,0.1874337647401732,0.14236111111111116,0.8576388888888888,1
2,288,0.017361111111111112,0.007437740417789013,0.03999072762789056,0.020266685956790136,0.8576388888888888,1
3,288,0.0,0.0,0.01316330502573999,0.0028851879313485968,0.8576388888888888,1
